state_code,effective_from,effective_to,regular_min_wage,tipped_min_cash_wage,max_tip_credit,weekly_ot_hours,daily_ot_hours,daily_dt_hours,min_wage_citation,min_wage_url,tipped_citation,tipped_url,state_statute_citation,state_statute_url
AL,2025-01-01,,,,,40.0,,,"No state minimum wage; FLSA applies","https://www.dol.gov/agencies/whd/minimum-wage/state","","","",""
AK,2025-01-01,,,,,40.0,,,"TODO: fill from official Alaska labor agency/DOL sources","","","","",""
AZ,2025-01-01,,,,,40.0,,,"TODO: fill from official Arizona labor agency/DOL sources","","","","",""
AR,2025-01-01,,,,,40.0,,,"TODO: fill from official Arkansas labor agency/DOL sources","","","","",""
CA,2025-01-01,,16.00,16.00,0.00,40.0,8.0,12.0,"DOL State Minimum Wage Table 2025 (CA)","https://www.dol.gov/agencies/whd/minimum-wage/state","","","CA Labor Code §1182.12 (example)",""
CO,2025-01-01,,,,,40.0,,,"TODO: fill from official Colorado labor agency/DOL sources","","","","",""
CT,2025-01-01,,,,,40.0,,,"TODO: fill from official Connecticut labor agency/DOL sources","","","","",""
DE,2025-01-01,,,,,40.0,,,"TODO: fill from official Delaware labor agency/DOL sources","","","","",""
FL,2025-01-01,,,,,40.0,,,"TODO: fill from official Florida labor agency/DOL sources","","","","",""
GA,2025-01-01,,,,,40.0,,,"State minimum wage below federal; FLSA generally applies","https://www.dol.gov/agencies/whd/minimum-wage/state","","","",""
HI,2025-01-01,,,,,40.0,,,"TODO: fill from official Hawaii labor agency/DOL sources","","","","",""
ID,2025-01-01,,,,,40.0,,,"TODO: fill from official Idaho labor agency/DOL sources","","","","",""
IL,2025-01-01,,,,,40.0,,,"TODO: fill from official Illinois labor agency/DOL sources","","","","",""
IN,2025-01-01,,,,,40.0,,,"TODO: fill from official Indiana labor agency/DOL sources","","","","",""
IA,2025-01-01,,,,,40.0,,,"TODO: fill from official Iowa labor agency/DOL sources","","","","",""
KS,2025-01-01,,,,,40.0,,,"TODO: fill from official Kansas labor agency/DOL sources","","","","",""
KY,2025-01-01,,,,,40.0,,,"TODO: fill from official Kentucky labor agency/DOL sources","","","","",""
LA,2025-01-01,,,,,40.0,,,"No state minimum wage; FLSA applies","https://www.dol.gov/agencies/whd/minimum-wage/state","","","",""
ME,2025-01-01,,,,,40.0,,,"TODO: fill from official Maine labor agency/DOL sources","","","","",""
MD,2025-01-01,,,,,40.0,,,"TODO: fill from official Maryland labor agency/DOL sources","","","","",""
MA,2025-01-01,,,,,40.0,,,"TODO: fill from official Massachusetts labor agency/DOL sources","","","","",""
MI,2025-01-01,,,,,40.0,,,"TODO: fill from official Michigan labor agency/DOL sources","","","","",""
MN,2025-01-01,,,,,40.0,,,"TODO: fill from official Minnesota labor agency/DOL sources","","","","",""
MS,2025-01-01,,,,,40.0,,,"No state minimum wage; FLSA applies","https://www.dol.gov/agencies/whd/minimum-wage/state","","","",""
MO,2025-01-01,,,,,40.0,,,"TODO: fill from official Missouri labor agency/DOL sources","","","","",""
MT,2025-01-01,,,,,40.0,,,"TODO: fill from official Montana labor agency/DOL sources","","","","",""
NE,2025-01-01,,,,,40.0,,,"TODO: fill from official Nebraska labor agency/DOL sources","","","","",""
NV,2025-01-01,,,,,40.0,,,"TODO: fill from official Nevada labor agency/DOL sources","","","","",""
NH,2025-01-01,,,,,40.0,,,"No state minimum wage; FLSA applies","https://www.dol.gov/agencies/whd/minimum-wage/state","","","",""
NJ,2025-01-01,,,,,40.0,,,"TODO: fill from official New Jersey labor agency/DOL sources","","","","",""
NM,2025-01-01,,,,,40.0,,,"TODO: fill from official New Mexico labor agency/DOL sources","","","","",""
NY,2025-01-01,,,,,40.0,,,"TODO: fill from official New York labor agency/DOL sources","","","","",""
NC,2025-01-01,,,,,40.0,,,"TODO: fill from official North Carolina labor agency/DOL sources","","","","",""
ND,2025-01-01,,,,,40.0,,,"TODO: fill from official North Dakota labor agency/DOL sources","","","","",""
OH,2025-01-01,,,,,40.0,,,"TODO: fill from official Ohio labor agency/DOL sources","","","","",""
OK,2025-01-01,,,,,40.0,,,"State minimum wage below federal; FLSA generally applies","https://www.dol.gov/agencies/whd/minimum-wage/state","","","",""
OR,2025-01-01,,,,,40.0,,,"TODO: fill from official Oregon labor agency/DOL sources","","","","",""
PA,2025-01-01,,,,,40.0,,,"TODO: fill from official Pennsylvania labor agency/DOL sources","","","","",""
RI,2025-01-01,,,,,40.0,,,"TODO: fill from official Rhode Island labor agency/DOL sources","","","","",""
SC,2025-01-01,,,,,40.0,,,"No state minimum wage; FLSA applies","https://www.dol.gov/agencies/whd/minimum-wage/state","","","",""
SD,2025-01-01,,,,,40.0,,,"TODO: fill from official South Dakota labor agency/DOL sources","","","","",""
TN,2025-01-01,,,,,40.0,,,"No state minimum wage; FLSA applies","https://www.dol.gov/agencies/whd/minimum-wage/state","","","",""
TX,2025-01-01,,7.25,2.13,5.12,40.0,,,"DOL State Minimum Wage Table 2025 (TX)","https://www.dol.gov/agencies/whd/minimum-wage/state","DOL Tipped Minimum Wage Table 2025 (TX)","https://www.dol.gov/agencies/whd/state/minimum-wage/tipped","",""
UT,2025-01-01,,,,,40.0,,,"TODO: fill from official Utah labor agency/DOL sources","","","","",""
VT,2025-01-01,,,,,40.0,,,"TODO: fill from official Vermont labor agency/DOL sources","","","","",""
VA,2025-01-01,,,,,40.0,,,"TODO: fill from official Virginia labor agency/DOL sources","","","","",""
WA,2025-01-01,,,,,40.0,,,"TODO: fill from official Washington labor agency/DOL sources","","","","",""
WV,2025-01-01,,,,,40.0,,,"TODO: fill from official West Virginia labor agency/DOL sources","","","","",""
WI,2025-01-01,,,,,40.0,,,"TODO: fill from official Wisconsin labor agency/DOL sources","","","","",""
WY,2025-01-01,,,,,40.0,,,"State minimum wage below federal; FLSA generally applies","https://www.dol.gov/agencies/whd/minimum-wage/state","","","",""
