# frequency,filingStatus,variant,minCents,maxCents,taxCents
# Auto-generated from IRS Pub. 15-T 2025 wage-bracket biweekly table.
frequency,filingStatus,variant,minCents,maxCents,taxCents
BIWEEKLY,MARRIED,STANDARD,0,29000,0
BIWEEKLY,MARRIED,STEP2_CHECKBOX,0,29000,0
BIWEEKLY,HEAD_OF_HOUSEHOLD,STANDARD,0,29000,0
BIWEEKLY,HEAD_OF_HOUSEHOLD,STEP2_CHECKBOX,0,29000,0
BIWEEKLY,SINGLE,STANDARD,0,29000,0
BIWEEKLY,SINGLE,STEP2_CHECKBOX,0,29000,0
BIWEEKLY,MARRIED,STANDARD,29000,30000,0
BIWEEKLY,MARRIED,STEP2_CHECKBOX,29000,30000,0
BIWEEKLY,HEAD_OF_HOUSEHOLD,STANDARD,29000,30000,0
BIWEEKLY,HEAD_OF_HOUSEHOLD,STEP2_CHECKBOX,29000,30000,0
BIWEEKLY,SINGLE,STANDARD,29000,30000,0
BIWEEKLY,SINGLE,STEP2_CHECKBOX,29000,30000,100
BIWEEKLY,MARRIED,STANDARD,30000,31000,0
BIWEEKLY,MARRIED,STEP2_CHECKBOX,30000,31000,0
BIWEEKLY,HEAD_OF_HOUSEHOLD,STANDARD,30000,31000,0
BIWEEKLY,HEAD_OF_HOUSEHOLD,STEP2_CHECKBOX,30000,31000,0
BIWEEKLY,SINGLE,STANDARD,30000,31000,0
BIWEEKLY,SINGLE,STEP2_CHECKBOX,30000,31000,200
BIWEEKLY,MARRIED,STANDARD,31000,32000,0
BIWEEKLY,MARRIED,STEP2_CHECKBOX,31000,32000,0
BIWEEKLY,HEAD_OF_HOUSEHOLD,STANDARD,31000,32000,0
BIWEEKLY,HEAD_OF_HOUSEHOLD,STEP2_CHECKBOX,31000,32000,0
BIWEEKLY,SINGLE,STANDARD,31000,32000,0
BIWEEKLY,SINGLE,STEP2_CHECKBOX,31000,32000,300
BIWEEKLY,MARRIED,STANDARD,32000,33000,0
BIWEEKLY,MARRIED,STEP2_CHECKBOX,32000,33000,0
BIWEEKLY,HEAD_OF_HOUSEHOLD,STANDARD,32000,33000,0
BIWEEKLY,HEAD_OF_HOUSEHOLD,STEP2_CHECKBOX,32000,33000,0
BIWEEKLY,SINGLE,STANDARD,32000,33000,0
BIWEEKLY,SINGLE,STEP2_CHECKBOX,32000,33000,400
BIWEEKLY,MARRIED,STANDARD,33000,34000,0
BIWEEKLY,MARRIED,STEP2_CHECKBOX,33000,34000,0
BIWEEKLY,HEAD_OF_HOUSEHOLD,STANDARD,33000,34000,0
BIWEEKLY,HEAD_OF_HOUSEHOLD,STEP2_CHECKBOX,33000,34000,0
BIWEEKLY,SINGLE,STANDARD,33000,34000,0
BIWEEKLY,SINGLE,STEP2_CHECKBOX,33000,34000,500
BIWEEKLY,MARRIED,STANDARD,34000,35000,0
BIWEEKLY,MARRIED,STEP2_CHECKBOX,34000,35000,0
BIWEEKLY,HEAD_OF_HOUSEHOLD,STANDARD,34000,35000,0
BIWEEKLY,HEAD_OF_HOUSEHOLD,STEP2_CHECKBOX,34000,35000,0
BIWEEKLY,SINGLE,STANDARD,34000,35000,0
BIWEEKLY,SINGLE,STEP2_CHECKBOX,34000,35000,600
BIWEEKLY,MARRIED,STANDARD,35000,36000,0
BIWEEKLY,MARRIED,STEP2_CHECKBOX,35000,36000,0
BIWEEKLY,HEAD_OF_HOUSEHOLD,STANDARD,35000,36000,0
BIWEEKLY,HEAD_OF_HOUSEHOLD,STEP2_CHECKBOX,35000,36000,0
BIWEEKLY,SINGLE,STANDARD,35000,36000,0
BIWEEKLY,SINGLE,STEP2_CHECKBOX,35000,36000,700
BIWEEKLY,MARRIED,STANDARD,36000,37000,0
BIWEEKLY,MARRIED,STEP2_CHECKBOX,36000,37000,0
BIWEEKLY,HEAD_OF_HOUSEHOLD,STANDARD,36000,37000,0
BIWEEKLY,HEAD_OF_HOUSEHOLD,STEP2_CHECKBOX,36000,37000,0
BIWEEKLY,SINGLE,STANDARD,36000,37000,0
BIWEEKLY,SINGLE,STEP2_CHECKBOX,36000,37000,800
